list_name,label,name,district,upazila,union_name,ward
district_list,Barguna,04,,,,
district_list,Jessore ,41,,,,
district_list,Patuakhali,78,,,,
,,,,,,
village_list,y,040987617,41,4138,413876,0409876
village_list,z,040987618,41,4138,413876,0409876
village_list,x,040987719,41,4138,413876,0409877
village_list,y,040987720,41,4138,413876,0409877
village_list,z,040987721,41,4138,413876,0409877
village_list,x,040987822,41,4138,413876,0409878
village_list,y,040987823,41,4138,413876,0409878
village_list,z,040987824,41,4138,413876,0409878
village_list,x,040987925,41,4138,413876,0409879
village_list,y,040987926,41,4138,413876,0409879
village_list,z,040987927,41,4138,413876,0409879
village_list,x,410442101,41,4161,416172,4104421
village_list,y,410442102,41,4161,416172,4104421
village_list,z,410442103,41,4161,416172,4104421
village_list,x,410442204,41,4161,416172,4104422
village_list,y,410442205,41,4161,416172,4104422
village_list,z,410442206,41,4161,416172,4104422
village_list,x,410442307,41,4161,416172,4104423
village_list,y,410442308,41,4161,416172,4104423
village_list,z,410442309,41,4161,416172,4104423
village_list,x,410442410,41,4161,416172,4104424
village_list,y,410442411,41,4161,416172,4104424
village_list,z,410442412,41,4161,416172,4104424
village_list,x,410442513,41,4161,416172,4104425
village_list,y,410442514,41,4161,416172,4104425
village_list,z,410442515,41,4161,416172,4104425
village_list,x,410442616,41,4161,416172,4104426
village_list,y,410442617,41,4161,416172,4104426
village_list,z,410442618,41,4161,416172,4104426
village_list,x,410442719,41,4161,416172,4104427
village_list,y,410442720,41,4161,416172,4104427
village_list,z,410442721,41,4161,416172,4104427
village_list,x,410442822,41,4161,416172,4104428
village_list,y,410442823,41,4161,416172,4104428
village_list,z,410442824,41,4161,416172,4104428
village_list,x,410442925,41,4161,416172,4104429
village_list,y,410442926,41,4161,416172,4104429
village_list,z,410442927,41,4161,416172,4104429
village_list,x,413819101,41,4161,416172,4138191
village_list,y,413819102,41,4161,416172,4138191
village_list,z,413819103,41,4161,416172,4138191
village_list,x,413819204,41,4161,416172,4138192
village_list,y,413819205,41,4161,416172,4138192
village_list,z,413819206,41,4161,416172,4138192
village_list,x,413819307,41,4161,416172,4138193
village_list,y,413819308,41,4161,416172,4138193
village_list,z,413819309,41,4161,416172,4138193
village_list,x,413819410,41,4161,416172,4138194
village_list,y,413819411,41,4161,416172,4138194
village_list,z,413819412,41,4161,416172,4138194
village_list,x,413819513,41,4161,416172,4138195
village_list,y,413819514,41,4161,416172,4138195
village_list,z,413819515,41,4161,416172,4138195
village_list,x,413819616,41,4161,416172,4138196
village_list,y,413819617,41,4161,416172,4138196
village_list,z,413819618,41,4161,416172,4138196
village_list,x,413819719,41,4161,416172,4138197
village_list,y,413819720,41,4161,416172,4138197
village_list,z,413819721,41,4161,416172,4138197
village_list,x,413819822,41,4161,416172,4138198
village_list,y,413819823,41,4161,416172,4138198
village_list,z,413819824,41,4161,416172,4138198
village_list,x,413819925,41,4161,416172,4138199
village_list,y,413819926,41,4161,416172,4138199
village_list,z,413819927,41,4161,416172,4138199
village_list,x,413876101,41,4161,416172,4138761
village_list,y,413876102,41,4161,416172,4138761
village_list,z,413876103,41,4161,416172,4138761
village_list,x,413876204,41,4161,416172,4138762
village_list,y,413876205,41,4161,416172,4138762
village_list,z,413876206,41,4161,416172,4138762
village_list,x,413876307,41,4161,416172,4138763
village_list,y,413876308,41,4161,416172,4138763
village_list,z,413876309,41,4161,416172,4138763
village_list,x,413876410,41,4161,416172,4138764
village_list,y,413876411,41,4161,416172,4138764
village_list,z,413876412,41,4161,416172,4138764
village_list,x,413876513,41,4161,416172,4138765
village_list,y,413876514,41,4161,416172,4138765
village_list,z,413876515,41,4161,416172,4138765
village_list,x,413876616,41,4161,416172,4138766
village_list,y,413876617,41,4161,416172,4138766
village_list,z,413876618,41,4161,416172,4138766
village_list,x,413876719,41,4161,416172,4138767
village_list,y,413876720,41,4161,416172,4138767
village_list,z,413876721,41,4161,416172,4138767
village_list,x,413876822,41,4161,416172,4138768
village_list,y,413876823,41,4161,416172,4138768
village_list,z,413876824,41,4161,416172,4138768
village_list,x,413876925,41,4161,416172,4138769
village_list,y,413876926,41,4161,416172,4138769
village_list,z,413876927,41,4161,416172,4138769
village_list,x,416172101,41,4161,416172,4161721
village_list,y,416172102,41,4161,416172,4161721
village_list,z,416172103,41,4161,416172,4161721
village_list,x,416172204,41,4161,416172,4161722
village_list,y,416172205,41,4161,416172,4161722
village_list,z,416172206,41,4161,416172,4161722
village_list,x,416172307,41,4161,416172,4161723
village_list,y,416172308,41,4161,416172,4161723
village_list,z,416172309,41,4161,416172,4161723
village_list,x,416172410,41,4161,416172,4161724
village_list,y,416172411,41,4161,416172,4161724
village_list,z,416172412,41,4161,416172,4161724
village_list,x,416172513,41,4161,416172,4161725
village_list,y,416172514,41,4161,416172,4161725
village_list,z,416172515,41,4161,416172,4161725
village_list,x,416172616,41,4161,416172,4161726
village_list,y,416172617,41,4161,416172,4161726
village_list,z,416172618,41,4161,416172,4161726
village_list,x,416172719,41,4161,416172,4161727
village_list,y,416172720,41,4161,416172,4161727
village_list,z,416172721,41,4161,416172,4161727
village_list,x,416172822,41,4161,416172,4161728
village_list,y,416172823,41,4161,416172,4161728
village_list,z,416172824,41,4161,416172,4161728
village_list,x,416172925,41,4161,416172,4161729
village_list,y,416172926,41,4161,416172,4161729
village_list,z,416172927,41,4161,416172,4161729
village_list,Chalitabuni,789567101,78,7895,789567,7895671
village_list,Hazikhali,789567102,78,7895,789567,7895671
village_list,Pokkhia,789567103,78,7895,789567,7895671
village_list,Uttarhazikhali,789567104,78,7895,789567,7895671
village_list,Garakhali,789567105,78,7895,789567,7895671
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
