list_name,label,name,district,upazila,union_name,ward
ward_list,4,7897344,78,7897,789734,
ward_list,5,7897345,78,7897,789734,
ward_list,6,7897346,78,7897,789734,
ward_list,7,7897347,78,7897,789734,
ward_list,8,7897348,78,7897,789734,
ward_list,9,7897349,78,7897,789734,
ward_list,1,7897441,78,7897,789744,
ward_list,2,7897442,78,7897,789744,
ward_list,3,7897443,78,7897,789744,
ward_list,4,7897444,78,7897,789744,
ward_list,5,7897445,78,7897,789744,
ward_list,6,7897446,78,7897,789744,
ward_list,7,7897447,78,7897,789744,
ward_list,8,7897448,78,7897,789744,
ward_list,9,7897449,78,7897,789744,
ward_list,1,7897831,78,7897,789783,
ward_list,2,7897832,78,7897,789783,
ward_list,3,7897833,78,7897,789783,
ward_list,4,7897834,78,7897,789783,
ward_list,5,7897835,78,7897,789783,
ward_list,6,7897836,78,7897,789783,
ward_list,7,7897837,78,7897,789783,
ward_list,8,7897838,78,7897,789783,
ward_list,9,7897839,78,7897,789783,
ward_list,1,7895311,78,7895,789531,
ward_list,2,7895312,78,7895,789531,
ward_list,3,7895313,78,7895,789531,
ward_list,4,7895314,78,7895,789531,
ward_list,5,7895315,78,7895,789531,
ward_list,6,7895316,78,7895,789531,
ward_list,7,7895317,78,7895,789531,
ward_list,8,7895318,78,7895,789531,
ward_list,9,7895319,78,7895,789531,
ward_list,1,7895131,78,7895,789513,
ward_list,2,7895132,78,7895,789513,
ward_list,3,7895133,78,7895,789513,
ward_list,4,7895134,78,7895,789513,
ward_list,5,7895135,78,7895,789513,
ward_list,6,7895136,78,7895,789513,
ward_list,7,7895137,78,7895,789513,
ward_list,8,7895138,78,7895,789513,
ward_list,9,7895139,78,7895,789513,
ward_list,1,7895271,78,7895,789527,
ward_list,2,7895272,78,7895,789527,
ward_list,3,7895273,78,7895,789527,
ward_list,4,7895274,78,7895,789527,
ward_list,5,7895275,78,7895,789527,
ward_list,6,7895276,78,7895,789527,
ward_list,7,7895277,78,7895,789527,
ward_list,8,7895278,78,7895,789527,
ward_list,9,7895279,78,7895,789527,
ward_list,1,7895331,78,7895,789533,
ward_list,2,7895332,78,7895,789533,
ward_list,3,7895333,78,7895,789533,
ward_list,4,7895334,78,7895,789533,
ward_list,5,7895335,78,7895,789533,
ward_list,6,7895336,78,7895,789533,
ward_list,7,7895337,78,7895,789533,
ward_list,8,7895338,78,7895,789533,
ward_list,9,7895339,78,7895,789533,
ward_list,1,7895741,78,7895,789574,
ward_list,2,7895742,78,7895,789574,
ward_list,3,7895743,78,7895,789574,
ward_list,4,7895744,78,7895,789574,
ward_list,5,7895745,78,7895,789574,
ward_list,6,7895746,78,7895,789574,
ward_list,7,7895747,78,7895,789574,
ward_list,8,7895748,78,7895,789574,
ward_list,9,7895749,78,7895,789574,
village_list,Paschil Amkhola,785711308,78,7857,785711,7857113
village_list,Dakshin Pankhali,785750718,78,7857,785750,7857507
village_list,Uttar Chat Lata,789732411,78,7897,789732,7897324
village_list,Sakharia,040923101,04,0409,040923,0409231
village_list,Biswaserhat,789513215,78,7895,789513,7895132
village_list,Uttar Goalbunia,789732822,78,7897,789732,7897328
village_list,katakhali ,789513701,78,7895,789513,7895137
village_list,Moddho Char Agosti,785737720,78,7857,785737,7857377
village_list,Maddaj Tualati,785778620,78,7857,785778,7857786
village_list,Purbo Char Chandrailer,785769403,78,7857,785769,7857694
village_list,Uttar Hartokibaria,789513908,78,7895,789513,7895139
village_list,Charjainkathi,789527627,78,7895,789527,7895276
village_list,Uttar Char Chandrailer,785769506,78,7857,785769,7857695
village_list,Gudhighata,789744515,78,7897,789744,7897445
village_list,Dokhin Kalipura,040987620,04,0409,040987,0409876
